user_id,state_id,country_id,user_status_id,full_name,first_name,middle_name,last_name,primary_email_address,primary_phone_number,addr_ln1,addr_ln2,addr_ln3,city_name,zip_code,last_location,last_updated_at,time_zone,profile_picture_path,gender,language_1,language_2,language_3,promotion_wizard_stage,promotion_wizard_last_updated_at,external_auth_provider,dob,is_eu
a075e927-5110-b492-f442-7e0b61484bb3,15,5,1,Kendall Drew Meadows,Kendall,Drew,Meadows,kendall.meadows1122@example.org,,2726 Sunset Ln,Apt 15,,New Melbourneburg,3084,"(144.960137,-37.816965)",2024-12-08 07:02:20,Australia/Melbourne,s3://saayam-mock/profiles/a075e927-5110-b492-f442-7e0b61484bb3.jpg,MALE,4,2,,1,2024-11-04 19:20:41,GOOGLE,1960-03-03,False
9ea556aa-61ee-6c5b-deef-580f9c07a751,14,5,1,Finley Blake Wells,Finley,Blake,Wells,finley.wells3805@example.org,,8956 Maple Ave,,,South Sydneyhaven,2059,"(151.209132,-33.865192)",2025-07-02 14:56:56,Australia/Sydney,,PREFER_NOT_TO_SAY,11,1,,2,2025-05-13 18:10:59,COGNITO,1965-07-19,False
fe2110d0-4bbe-4aff-9326-dffd5be4bf51,15,5,1,Logan Holt,Logan,,Holt,logan.holt4498@example.org,,5773 Cedar Rd,Apt 318,,Melbourne,3000,"(144.965097,-37.811182)",2024-04-16 03:45:25,Australia/Melbourne,,MALE,1,10,8,5,2024-01-23 00:36:45,FACEBOOK,2000-08-02,False
21a4344f-bb7b-ee03-5d67-8bb1945ef2e4,2,1,1,Logan Ray Ives,Logan,Ray,Ives,logan.ives2878@example.org,+1-202-555-0161,4836 Sunset Dr,,,Lake Sanhaven,94171,"(-122.415519,37.781778)",2024-08-02 18:38:48,America/Los_Angeles,,PREFER_NOT_TO_SAY,9,12,,4,2024-09-08 16:40:59,COGNITO,1966-09-04,False
bfbf397b-ac3e-7b0d-5e5b-a13d746cdb77,14,5,1,Harper Lane Glade,Harper,Lane,Glade,harper.glade6087@example.org,,1036 River Ct,Apt 359,,Mount Newcastlewood,2341,"(151.784930,-32.924675)",2024-06-12 09:22:32,Australia/Sydney,,NON_BINARY,10,,,3,2024-05-05 09:30:26,GOOGLE,1974-08-12,False
b24cc64f-be3e-6e57-f30a-9e32aba4fc03,11,4,1,Frankie Lane Wells,Frankie,Lane,Wells,frankie.wells6798@example.org,,1628 River Dr,,,Fort Puneton,411710,"(73.852317,18.516452)",2024-07-03 11:42:51,Asia/Kolkata,s3://saayam-mock/profiles/b24cc64f-be3e-6e57-f30a-9e32aba4fc03.jpg,FEMALE,1,6,,3,2024-04-23 21:53:07,COGNITO,1953-06-08,False
90882eaf-c977-6598-203c-8c25fd235def,4,1,1,Casey Drew Reed,Casey,Drew,Reed,casey.reed9608@example.org,+1-202-555-0116,8851 Pine Blvd,,,Lake Dallasburg,75288,"(-96.797430,32.783139)",2024-08-12 20:22:11,America/Chicago,,MALE,10,,,4,2024-09-19 16:33:05,COGNITO,1958-12-14,False
104556e5-bee3-eb79-1d18-1ee986ad8a8c,10,3,1,Hayden Ray Vale,Hayden,Ray,Vale,hayden.vale7406@example.org,,6581 Washington Ave,,,Edinburgh,EH1 1YZ,"(-3.188552,55.956084)",2025-07-25 19:36:07,Europe/London,s3://saayam-mock/profiles/104556e5-bee3-eb79-1d18-1ee986ad8a8c.jpg,MALE,11,9,5,0,2025-06-16 01:18:42,FACEBOOK,1974-10-17,False
9afd4015-816b-cb9f-7426-b1934b7e6b3c,9,3,1,Jamie Reed,Jamie,,Reed,jamie.reed7047@example.org,,4177 Elm Blvd,,,Birmingham,B1 1BB,"(-1.889022,52.485075)",2025-04-15 19:19:26,Europe/London,s3://saayam-mock/profiles/9afd4015-816b-cb9f-7426-b1934b7e6b3c.jpg,FEMALE,7,12,,5,2025-07-11 04:17:29,COGNITO,1987-09-18,False
692ac139-1f4a-8ca1-ab85-fd595463adc7,7,2,1,Gray Ashby,Gray,,Ashby,gray.ashby9838@example.org,+1-416-555-0114,4565 Park Rd,,,Fort Vancouverville,V6B 5J4,"(-123.121307,49.278072)",2025-02-22 15:46:19,America/Vancouver,,FEMALE,4,3,8,4,2025-03-14 18:00:20,FACEBOOK,1951-03-09,False
